Trend_x,Trend_y,Residuals_x,Residuals_y
323.,96.6284414143,323.,-0.4284414143
324.,96.7488690571,324.,1.2611309429
325.,96.8570789825,325.,1.1529210175
326.,97.0525094566,326.,2.8474905434
327.,97.2468622166,327.,-1.2768622166
328.,97.3828113887,328.,-1.1828113887
329.,97.5538877438,329.,-1.3538877438
330.,97.6412591452,330.,0.4487408548
331.,97.7393309022,331.,0.3506690978
332.,97.8684794673,332.,-1.7184794673
333.,97.9892085891,333.,-1.8392085891
334.,98.1235307708,334.,-0.8535307708
335.,98.2900070217,335.,0.2899929783
336.,98.3975584951,336.,0.1824415049
337.,98.4312958391,337.,-5.2712958391
338.,98.4713126005,338.,-5.3113126005
339.,98.4954705656,339.,-0.5054705656
340.,98.2877340370,340.,6.142265963
341.,97.9945312465,341.,6.4354687535
342.,97.7863235860,342.,5.713676414
343.,98.1463967474,343.,-4.1863967474
344.,98.3544619357,344.,-0.0044619357
345.,98.4120211103,345.,-0.0620211103
346.,98.3437878548,346.,0.6662121452
347.,98.2677442298,347.,2.7722557702
348.,98.1254780403,348.,2.9145219597
349.,97.9618423973,349.,3.0781576027
350.,97.6970237151,350.,1.0429762849
351.,97.3615524700,351.,-1.8215524700
352.,97.0749405423,352.,-2.1049405423
353.,96.6993000974,353.,-1.7293000974
354.,96.3027776394,354.,0.3972223606
355.,95.7528845500,355.,0.94711545
356.,95.2674604181,356.,0.5725395819
357.,94.850536139,357.,-0.820536139
358.,94.4127176153,358.,-0.7327176153
359.,93.9623778568,359.,-1.8023778568
360.,93.5372463702,360.,-3.6572463702
361.,93.1766701398,361.,-3.2966701398
362.,92.8001626311,362.,-0.2701626311
363.,92.2953790573,363.,0.2346209427
364.,91.837751931,364.,0.6922480690
365.,91.489721398,365.,7.5202786020
366.,91.3574660808,366.,11.4025339192
367.,91.2351668214,367.,11.5248331786
368.,91.1101318263,368.,-8.0801318263
369.,90.7021903101,369.,-7.6721903101
370.,90.378170287,370.,-5.608170287
371.,90.0625468301,371.,-3.3625468301
372.,89.7795528778,372.,-5.0095528778
373.,89.5811952706,373.,-5.2811952706
374.,89.465962536,374.,-5.165962536
375.,89.3874554350,375.,-1.2974554350
376.,89.2514770436,376.,0.5785229564
377.,89.0425524927,377.,0.7874475073
378.,88.7594045165,378.,-0.3394045165
379.,88.5389374618,379.,-0.1189374618
380.,88.3797873111,380.,4.8502126889
381.,88.2491777843,381.,4.9808222157
382.,88.1282443543,382.,3.1017556457
383.,87.9772237197,383.,1.8727762803
384.,87.8165539423,384.,2.0334460577
385.,87.5859962853,385.,2.2640037147
386.,87.2671707173,386.,1.6428292827
387.,86.9403925344,387.,2.6196074656
388.,86.6929876101,388.,1.3570123899
389.,86.3716935831,389.,-1.2816935831
390.,86.0808951505,390.,-0.9908951505
391.,86.0439264762,391.,-1.8239264762
392.,86.2046825523,392.,-1.5846825523
393.,86.475206913,393.,-1.855206913
394.,86.2249176652,394.,-1.6049176652
395.,85.9241147025,395.,-0.1141147025
396.,85.6382864844,396.,0.1717135156
397.,85.4082756121,397.,0.4017243879
398.,85.1340800471,398.,0.6459199529
399.,84.8726390179,399.,-0.9726390179
400.,84.5526299576,400.,-1.0526299576
401.,84.3252977417,401.,-0.4252977417
402.,84.1489075630,402.,-0.6489075630
403.,83.9660723912,403.,1.7039276088
404.,83.7732446941,404.,0.0467553059
405.,83.6391707626,405.,0.1808292374
406.,83.6821214524,406.,-0.2521214524
407.,83.8315538291,407.,-1.1015538291
408.,84.0242965866,408.,-1.8842965866
409.,84.1878987067,409.,-2.0478987067
410.,84.3240295363,410.,-1.3240295363
411.,84.4779766246,411.,-0.9179766246
412.,84.6215941471,412.,-1.0615941471
413.,84.8021264355,413.,-1.2421264355
414.,84.9426134227,414.,1.7973865773
415.,85.0027608779,415.,1.7372391221
416.,85.0615844073,416.,1.2284155927
